City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,la passe,45.5549,-0.8967,37.63,77.0,0.0,2.53,FR,1702921844.0
36,puerto ayora,-0.7393,-90.3518,85.96,89.0,73.0,8.99,EC,1702921844.0
37,lugovoye,42.9094,72.7178,36.46,72.0,100.0,6.2,KZ,1702921845.0
38,newcastle,-32.9272,151.7765,74.71,98.0,100.0,0.0,AU,1702921845.0
39,kingston,17.997,-76.7936,85.15,71.0,75.0,10.0,JM,1702921573.0
40,puerto natales,-51.7236,-72.4875,61.25,41.0,75.0,16.11,CL,1702921591.0
41,boende,-0.2167,20.8667,76.6,85.0,88.0,3.58,CD,1702921846.0
42,isafjordur,66.0755,-23.124,23.04,86.0,40.0,0.0,IS,1702921846.0
43,cole harbour,44.6724,-63.4751,54.79,91.0,100.0,24.16,CA,1702921846.0
44,grytviken,-54.2811,-36.5092,40.08,66.0,15.0,4.74,GS,1702921847.0
45,mukalla,14.5425,49.1242,72.45,47.0,55.0,4.07,YE,1702921847.0
46,pathein,16.7833,94.7333,72.77,77.0,16.0,6.58,MM,1702921847.0
47,port elizabeth,-33.918,25.5701,69.1,85.0,20.0,10.36,ZA,1702921848.0
48,anadyr,64.75,177.4833,-3.5,76.0,78.0,13.42,RU,1702921848.0
49,fuvahmulah,,,,,,,,
50,acarau,-2.8856,-40.12,85.26,67.0,100.0,13.65,BR,1702921849.0
51,udachny,66.4167,112.4,-22.68,99.0,96.0,3.36,RU,1702921849.0
52,yellowknife,62.456,-114.3525,5.56,96.0,100.0,10.36,CA,1702921735.0
53,dudinka,69.4058,86.1778,9.63,83.0,100.0,30.0,RU,1702921850.0
54,howard springs,-12.497,131.047,85.91,88.0,97.0,8.03,AU,1702921850.0
